"X","years","sport","sex","ss01","ss02","ss03","ss04","ss05","ss06","ss07","ss08","ss09","ss10","ss11","ss12","ppfi_j00","ppfi_j01","ppfi_j02","ppfi_j03","ppfi_j04","ppfi_j05","ppfi_j06","ppfi_j07","ppfi_j08","ppfi_j09","ppfi_j10","ppfi_j11","ppfi_j12","ppfi_j13","ppfi_j14","ppfi_j15","panas01","panas02","panas03","panas04","panas05","panas06","panas07","panas08","panas09","panas10","panas11","panas12","panas13","panas14","panas15","panas16","panas17","panas18","panas19","panas20"
"92","7","陸上競技","男性",0,0,0,0,0,4,4,1,0,0,0,4,"全カレに出場すること",0,4,0,0,0,4,5,0,0,6,6,6,6,6,0,5,5,0,5,0,0,5,5,5,5,5,5,5,5,0,5,5,5,3,3
"94","11年","サッカー","男性",2,1,1,2,3,3,3,2,2,2,3,2,"チーム内での意識の統一をして、試合を圧倒的なものとすること",1,3,2,2,2,4,4,2,2,3,4,4,4,3,4,3,2,2,2,2,2,3,2,2,3,4,4,3,3,2,2,3,2,3,3
"95","２","ライフセービング","男性",2,2,2,2,2,3,2,3,2,2,2,2,"インカレ入賞",0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"96","4","ローイング","男性",3,3,4,3,3,4,2,2,2,2,2,3,"忍耐力や仲間との絆",4,5,6,4,4,4,4,5,4,3,4,2,3,2,2,3,3,1,4,3,1,4,4,2,4,4,3,3,2,1,1,4,1,1,1
"97","15年","サッカー","男性",4,4,4,4,4,4,4,4,4,4,4,4,"チームを勝たせるようにプレーすることを目標としている。",0,0,0,0,0,5,5,6,6,6,6,6,6,6,6,3,3,3,4,3,4,5,5,5,5,5,5,5,5,0,1,5,1,1,5
"98","14","サッカー","男性",2,2,2,2,2,2,2,2,2,2,2,2,"ストロングポイントを伸ばす",4,2,4,3,4,3,4,3,4,3,4,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3
"99","11","野球","男性",4,2,3,3,4,4,4,3,3,3,3,3,"そのスポーツを楽しんでプレーする",2,6,3,5,1,2,5,1,5,3,6,6,6,6,6,5,2,3,2,2,2,3,4,3,3,3,4,4,5,5,5,5,2,3,4
"100","8","駅伝","男性",3,2,3,3,3,4,4,4,2,3,3,3,"駅伝をやっていて長距離を走るうえで後半に疲れや疲労が足にくるのですがその対策として、試合前日や日ごろの食事などをきおつけるようになりました。目標は１０月の大会までに記録更新をするために毎日の継続を怠らないことです。",0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,4,5,0,3,0,0,5,5,3,5,5,5,3,5,0,0,5,0,0,0
"101","13","バスケットボール","女性",2,2,3,2,1,3,1,3,2,2,2,2,"自分が指導者になったときにしっかりと指導できる知識や技術を身に付けていること",2,2,2,2,2,4,4,3,2,4,3,4,3,4,4,2,3,3,2,2,2,3,2,2,3,3,3,2,3,3,2,3,2,2,2
"102","10年","ソフトテニス","男性",1,1,1,3,3,3,4,3,2,2,1,2,"全国でベスト８に入る",0,1,0,0,0,1,4,3,3,3,3,4,2,2,4,2,3,3,2,2,3,2,3,1,4,3,4,2,2,2,4,2,2,2,2
